DATE,yhat_lower,yhat_upper,CC Volume
2017-01-01,25.264174955551237,61.88296769984458,38.34791478875554
2017-01-02,209.81267395344244,511.2896391179209,331.63413304559964
2017-01-03,221.09386358894776,523.8933103032473,336.2998110205761
2017-01-04,214.214335112952,510.1918753091203,328.44981262638686
2017-01-05,203.59962444220048,510.8998352495373,318.71265907885436
2017-01-06,201.73764980691058,481.915930401717,319.6349488425903
2017-01-07,41.65687248516799,99.97446448755218,64.09521179219983
2017-01-08,28.282828080628477,68.21193030389988,43.79661676329677
2017-01-09,242.07576058431283,593.7190535658037,385.64081013264007
2017-01-10,263.6001444360871,603.100081145297,396.70328062274467
2017-01-11,252.5691983272986,604.1423398511819,391.4785492054977
2017-01-12,246.19206302319887,591.2630684674816,382.26015154672825
2017-01-13,245.74240325855587,599.3488350473349,384.18107030003944
2017-01-14,50.795347625269095,121.10777845074833,76.88723240213552
2017-01-15,32.967548743252834,79.26708989569579,52.22843255685253
2017-01-16,294.3993965764757,697.8533272776327,455.4951526674346
2017-01-17,291.53589045063103,703.1521995449382,462.52968387144983
2017-01-18,279.0430134695573,692.3205686675634,449.2290696551737
2017-01-19,281.8411267998964,686.4210526754978,430.64504148654044
2017-01-20,276.62159689644517,650.2928042372255,424.0668749082502
2017-01-21,53.26483870951427,132.3263202460602,83.03597974414296
2017-01-22,35.58838352188157,86.97925119034024,55.13860560730704
2017-01-23,302.46937566239944,733.5036816570782,469.9395026469326
2017-01-24,306.2662844393302,713.0861589970564,466.4720096291659
2017-01-25,294.76095746966615,701.105065748191,443.23639807508357
2017-01-26,268.975842598558,655.4560405252898,416.23801354027165
2017-01-27,256.6282638510015,628.5693521758843,402.2374310319239
2017-01-28,51.37905982489712,120.87814525358822,77.46106063019322
2017-01-29,32.16099287231237,76.65498645819298,50.713936874614454
2017-01-30,268.4628891228567,644.3619802456027,427.3295897626781
2017-01-31,264.4996727086516,647.2805829694319,420.59692647663553
2017-02-01,256.6330921267668,622.0146969447193,397.47040748275384
2017-02-02,238.23695665581369,569.0452729345847,372.35151232026027
2017-02-03,227.72943773043173,565.2242921392908,360.01290074116343
2017-02-04,44.0813080583663,105.34020323000725,69.56034555300245
2017-02-05,28.72975112446692,70.42178168336385,45.81135245011814
2017-02-06,249.35077568929387,605.5501346049875,389.2071077812038
2017-02-07,253.77255158761196,583.6885154196776,387.00602032620833
2017-02-08,236.31201455994218,579.6132525245968,370.0765750042683
2017-02-09,229.25164973150746,551.2138888170537,351.2393497343135
2017-02-10,221.8786337713207,541.3555587588337,344.33296202442136
2017-02-11,43.10986041192702,103.44574662620344,67.48338977594838
2017-02-12,29.55265839010268,70.76010074825922,45.07822654633767
2017-02-13,247.97527772254296,579.124992099284,388.27963169220874
2017-02-14,250.5123362541464,604.6128333912937,391.1140436850855
2017-02-15,243.38723247835648,594.9805198951318,378.4491209406541
2017-02-16,226.39996760824025,558.8868091086019,362.93960667265634
2017-02-17,235.8752776580574,561.9468125212692,358.92997383619627
2017-02-18,45.38091310704681,111.36512994591422,70.83322818368744
2017-02-19,30.876043320262852,75.75495136442655,47.55275509090733
2017-02-20,261.2357050982634,618.5201527052815,410.8271239812964
2017-02-21,269.903457488312,652.7242197046888,414.25136200615844
2017-02-22,256.86055121669057,615.9378033127286,400.48206208404736
2017-02-23,245.91490259321566,608.5842047475343,383.0415160652084
2017-02-24,239.04864627481098,585.6048746206154,377.1817608432152
2017-02-25,48.2652572414603,114.07122460274482,74.01017674873601
2017-02-26,32.58914853347137,80.7990647748229,49.343754414647115
2017-02-27,263.50273454062335,646.1019625422198,422.98159478195305
2017-02-28,272.4218438385207,655.6588440285893,422.9192220406722
2017-03-01,253.87193014160613,614.6192138988849,405.2814677653392
2017-03-02,254.42520111925725,583.224440347479,384.21195438152637
2017-03-03,241.05441643589404,593.1201324863854,375.07202624600797
2017-03-04,48.208502136499554,111.09214581343345,72.99435903563914
2017-03-05,31.625530611657048,71.66318973714829,48.30073664337511
2017-03-06,258.8304313841958,646.4801029896217,411.2789588518401
2017-03-07,262.9884497328559,654.4890411421583,408.88241663374714
2017-03-08,245.49249624048403,600.7994435600833,390.03217695769115
2017-03-09,239.35782460074208,571.955367702824,368.484014618169
2017-03-10,228.10974209024502,578.9384896960113,358.8996646008997
2017-03-11,44.068571476914244,107.43832937641763,69.76711931393089
2017-03-12,29.79945108740978,73.97583672584301,46.16139378055857
2017-03-13,256.54196400031236,615.4733995548191,393.4029972321321
2017-03-14,253.08268972079617,623.3980135415445,391.7651127461902
2017-03-15,240.23293973025704,566.8648683501812,374.56786144848905
2017-03-16,228.2721778444256,563.0732941458807,354.8511574542318
2017-03-17,218.46741874339125,539.5253009104072,346.6617808026439
2017-03-18,43.12992783339716,105.16254646677004,67.59402067332739
2017-03-19,28.58532379426935,69.38377758375286,44.853188471026655
2017-03-20,243.77701339495997,593.6497703533638,383.22992292867866
2017-03-21,251.10216276592044,586.073606705971,382.41189468908675
2017-03-22,236.51410464859413,567.7961181928555,366.1284713989372
2017-03-23,223.83784151300262,538.3727714602975,347.0644411424636
2017-03-24,221.9002530640071,532.7296943044079,338.96854237901175
2017-03-25,41.70754634309966,102.05610532214283,66.01784160677927
2017-03-26,28.235277858640497,68.74910455031097,43.717424113173294
2017-03-27,244.57499833288867,572.999771871606,372.43732690274294
2017-03-28,233.07377999239625,576.6878761223502,370.26662957736835
2017-03-29,223.33300483613777,562.8754741893958,352.94831538440025
2017-03-30,204.74174729187592,501.15865235720463,332.92733960400443
