DATE,CC Volume
12/21/2017,333
12/22/2017,284
12/23/2017,93
12/24/2017,52
12/25/2017,17
12/26/2017,247
12/27/2017,518
12/28/2017,259
12/29/2017,135
12/30/2017,63
12/31/2017,42
1/1/2018,46
1/2/2018,363
1/3/2018,321
1/4/2018,306
1/5/2018,396
1/6/2018,47
1/7/2018,40
1/8/2018,396
1/9/2018,343
1/10/2018,390
1/11/2018,392
1/12/2018,477
1/13/2018,63
1/14/2018,35
1/15/2018,304
1/16/2018,451
1/17/2018,411
1/18/2018,372
1/19/2018,547
1/20/2018,74
1/21/2018,31
1/22/2018,410
1/23/2018,407
1/24/2018,412
1/25/2018,402
1/26/2018,395
1/27/2018,74
1/28/2018,27
1/29/2018,402
1/30/2018,421
1/31/2018,402
2/1/2018,401
2/2/2018,348
2/3/2018,74
2/4/2018,35
2/5/2018,387
2/6/2018,385
2/7/2018,353
2/8/2018,377
2/9/2018,351
2/10/2018,66
2/11/2018,46
2/12/2018,437
2/13/2018,324
2/14/2018,334
2/15/2018,369
2/16/2018,343
2/17/2018,84
2/18/2018,38
2/19/2018,266
2/20/2018,379
2/21/2018,383
2/22/2018,406
2/23/2018,330
2/24/2018,77
2/25/2018,44
2/26/2018,475
2/27/2018,438
2/28/2018,366
3/1/2018,371
3/2/2018,383
3/3/2018,88
3/4/2018,41
3/5/2018,433
3/6/2018,401
3/7/2018,377
3/8/2018,431
3/9/2018,391
3/10/2018,122
3/11/2018,50
3/12/2018,453
3/13/2018,382
3/14/2018,425
3/15/2018,171
3/16/2018,372
3/17/2018,80
3/18/2018,52
3/19/2018,461
3/20/2018,422
3/21/2018,366
3/22/2018,374
3/23/2018,342
3/24/2018,60
3/25/2018,39
3/26/2018,389
3/27/2018,394
3/28/2018,335
3/29/2018,287
3/30/2018,302
3/31/2018,49
4/1/2018,11
4/2/2018,463
4/3/2018,377
4/4/2018,390
4/5/2018,394
4/6/2018,337
4/7/2018,52
4/8/2018,46
4/9/2018,462
4/10/2018,353
4/11/2018,349
4/12/2018,324
4/13/2018,363
4/14/2018,78
4/15/2018,61
4/16/2018,470
4/17/2018,443
4/18/2018,411
4/19/2018,410
4/20/2018,386
4/21/2018,72
4/22/2018,48
4/23/2018,459
4/24/2018,452
4/25/2018,360
4/26/2018,414
4/27/2018,357
4/28/2018,81
4/29/2018,48
4/30/2018,499
5/1/2018,393
5/2/2018,385
5/3/2018,437
5/4/2018,385
5/5/2018,61
5/6/2018,50
5/7/2018,417
5/8/2018,384
5/9/2018,355
5/10/2018,405
5/11/2018,308
5/12/2018,55
5/13/2018,48
5/14/2018,592
5/15/2018,473
5/16/2018,388
5/17/2018,386
5/18/2018,382
5/19/2018,66
5/20/2018,58
5/21/2018,485
5/22/2018,429
5/23/2018,382
5/24/2018,397
5/25/2018,316
5/26/2018,47
5/27/2018,31
5/28/2018,77
5/29/2018,521
5/30/2018,485
5/31/2018,423
6/1/2018,408
6/2/2018,76
6/3/2018,39
6/4/2018,421
6/5/2018,408
6/6/2018,387
6/7/2018,416
6/8/2018,393
